recordId,stoylProductId,productId,productVersion,updateType,feature,featureDescription,functionalArea,setupEffort,newFunctionalityTitle,newFunctionality,trainingAndTestingImpact,publishDate,tentativeProductionDate,documentationCorrected,documentationCorrectedDate,businessProcesses,processTasks,webServicesName,securityDomains,currentName,formerName,retired,featureJira,Feature Opt-In,Adoption Item(s)
475,PR29,WDAY,29,feature release,Workday 29 - Cloud Connect for Benefits,Workday continues to improve Cloud Connect for Benefits functionality.,Integration,Setup Required,"ANSI X12 834: Medical, Dental, Vision, Rx, Life, Disability, FSA, HSA, Additional Benefits",We now enable you to configure the Vendor Name attribute with the value of HealthSCOPE Benefits.,,10/20/2017,10/20/2017,Yes,10/27/2017,,,,,,,,INTHRBEN-8666,,
476,PR29,WDAY,29,feature release,Workday 29 - Workday Mobile Applications 29.2,"We deliver a new version of Workday on Android, iPad, and iPhone, improving functionality and usability.",System,Automatically Available,Screenshot Deterrence,"With this update, Workday delivers a new Deter Screenshots check box on the Mobile section of the Edit Tenant Setup - System task, enabling you to:
- Alert users who take screenshots on iPad and iPhone that your company policy prohibits taking screenshots.
- Prevent users on Android devices from viewing screenshots by obscuring the image when the user opens it on their device.",This feature may impact your training materials.,10/20/2017,10/27/2017,Yes,10/27/2017,,,,,,,,OMSUI-6287,,
477,PR29,WDAY,29,feature release,Workday 29 - Benefits - Miscellaneous Enhancements,,Benefits,Automatically Available,Benefits Attachments,"Workday replaces the Attachments section with a new drag-and-drop file upload section on these tasks for greater usability:
- Change Benefit Elections
- Change Benefits
- Change Benefits for Open Enrollment 
- Change Open Enrollment
- Correct Benefits
- Edit Benefit Elections
- Inactivate Beneficiary
- Inactivate Dependent
- Reactivate Beneficiary
- Review Benefit Changes
- Revise Benefit Changes
- Revise Change Beneficiary

Note: To use attachments on the tasks, you must:
- Select the Enable Attachments check box on the Edit Tenant Setup - Business Processes and Notifications task.
- Enable attachments on business process security policies.",,10/20/2017,11/3/2017,Yes,10/27/2017,,,,,,,,HRBEN-16846,,
478,PR29,WDAY,29,feature release,Workday 29 - Learning Compliance,"Workday 29 continues to deliver robust compliance capabilities for learning.

For details, see: Learning Compliance What's New Video (https://community.workday.com/articles/344111).",Learning Core,Setup Required,Manage Learning Course Web Service,"We update the Manage Learning Course web service to now include these details on courses:
- Reference IDs 
- Unique identifiers",,10/20/2017,11/10/2017,Yes,10/27/2017,,,,,,,,LRN-5613,,
479,PR29,WDAY,29,feature release,Workday 29 - Workday Connect,"Workday 29 continues to build on the notification framework, enabling you to schedule content for distribution, including surveys. Workday Connect makes it easier to communicate, collaborate, and share experiences with others across workspaces.

For details, see: Workday Connect What's New Video (https://community.workday.com/articles/327087).","System

Talent Core",Setup Required,Scheduled Distributions Dashboard,"We deliver a new Scheduled Distributions dashboard, enabling you to conveniently access tasks and reports to manage scheduled distributions and their contents.

You can enable the dashboard on the Maintain Dashboards task.",,10/20/2017,11/17/2017,Yes,11/3/2017,,,,,,,,WIRE-12432,,
480,PR29,WDAY,29,feature release,Workday 29 - FLSA 8 and 80 Rules,Workday 29 delivers support for the Fair Labor Standards Act (FLSA) 8 and 80 rule for healthcare employers.,USA Payroll,Automatically Available,FLSA Work Period Type Description,"We now display a description for an FLSA Work Period Type on the View Work Period Type report.  

We plan to deliver FLSA support in a future update to enable you to use those descriptions to quickly review and determine which period type to select for an FLSA calendar.",This feature may impact your training materials.,10/20/2017,10/20/2017,Yes,11/3/2017,,,,,,,,PAYWDUSA-1417,,
481,PR29,WDAY,29,feature release,Workday 29 - Absence - Miscellaneous Enhancements,,Time Off and Leave,Automatically Available,Leave Percentage Maximum,"With this update, Workday now enables you to enter a value of 100 in the Leave Percentage field on these web services: 
- Get Payees
- Request Leave of Absence",,10/13/2017,11/17/2017,Yes,11/17/2017,,,,,,,,ABS-20984,,
482,PR29,WDAY,29,feature release,Workday 29 - Year-End Tax Reporting,"Workday 29 improves year-end tax reporting by enhancing reports, forms, and tax filing integrations.",USA Payroll,Automatically Available,Edit EIN for W-2C Data,"Workday now enables you to create W-2C data when you add or change an Employer's State ID Number (EIN) on the Edit Company State and Local US Tax Reporting task.

If you update an EIN, we also add a new Box 15 - State - Employer's State ID Number (Previous) column on the View W-2C Form Data report that you can use to view the original EIN.",This feature may impact your training materials.,10/13/2017,11/3/2017,,,,,,,,,,PAYWDUSA-15246,,
483,PR29,WDAY,29,feature release,Workday 29 - Payroll Accounting,"We continue to deliver enhancements and improvements to payroll accounting costing, commitments, and payment election processing and reporting.

For details, see: Payroll Accounting What's New Video (https://community.workday.com/articles/311630).",Core Payroll,Automatically Available,Create Payroll Accounting Adjustment,"We simplify the Create Payroll Accounting Adjustments task to improve usability. You can no longer select a payroll result that was previously adjusted on the current payroll accounting adjustment, preventing duplicate adjustments.",This feature may impact your training materials.,10/13/2017,10/27/2017,,,,,,,,,,PAYWDACCT-10455,,
484,PR29,WDAY,29,feature release,Workday 29 - Airport Data Maintenance,"Workday 29 enables you to configure additional airport information against airport codes to automatically populate airport data, offering greater accuracy when reporting on air travel expenses.",Expenses,Automatically Available,Maintain Airport Data,"Workday now enables you to configure additional airport data for reporting on air travel expenses on these tasks:
- Create Airport
- Edit Airport
- Maintain Airports

We update the tasks with a new:
- Airport Name field.
- Country prompt.
- Travel City prompt.
- Travel Region prompt.

We also add these columns on the View Airport report to support this functionality: 
- Airport Name
- Country
- Travel City
- Travel Region",This feature may impact your training materials.,10/13/2017,11/10/2017,,,,,,,,,,FINEXP-19140,,
485,PR29,WDAY,29,feature release,Workday 29 - Email Analytics,"Workday 29 provides support for the SparkPost REST API integration, enabling you to use email analytics for Workday Learning, Recruiting, and Student campaigns and engagement plans. 

Note: You must maintain a separate license to the SparkPost email service provider to use this functionality.

For details, see: Email Analytics What's New Video (https://community.workday.com/articles/327618).",Academic Foundation,Request Professional Services Support,Email Analytics in Student History,"We now display Email Analytics events on the Student History profile group that you can view to:
- Gauge the effectiveness of an email. 
- Track which actions a student took on an email.

You must configure the SparkPost integration to see these items in the Student History. For details, see the Workday 29 - Email Analytics feature in these functional areas:
- Learning Core
- Recruiting
- Student Recruiting
- System",,10/13/2017,11/10/2017,,,,,,,,,,STU-34138,,
486,PR29,WDAY,29,feature release,Workday 29 - Canada Payroll - Miscellaneous Enhancements,,CAN Payroll,Automatically Available,Statutory Holiday Look Back Period Balance Periods,"With this release, Workday delivers a new Statutory Holiday Look Back Period - Period End Date balance period that you can configure to a non-time-based earning to have Workday calculate statutory pay based on period end date.

We also rename the Statutory Holiday Look Back Period balance period to Statutory Holiday Look Back Period - Period Payment Date for clarity.",This feature may require additional testing.,10/13/2017,10/13/2017,,,,,,,Statutory Holiday Look Back Period - Period Payment Date,Statutory Holiday Look Back Period,,PAYWDCAN-7819,,
487,PR29,WDAY,29,feature release,Workday 29 - Student Integrations,"Workday 29 continues to enhance Student integrations, adding support for Common Origination and Disbursement (COD) transactions, NSLDS Transfer Student Monitoring/Financial Aid History, National Student Clearinghouse (NSC) enrollment reporting, and other formats.

For details, see: Student Integrations What's New Video (https://community.workday.com/articles/312371).","Integration

Student Financials",Setup Required,Cashnet Refund Outbound Integration,"With Workday 29, we add a new Cashnet Refund Outbound integration template that enables you to send refund request files to third-party credit card processors that use CASHNet.

For details, see: TSM & FAH NSLDS Transaction and Cashnet Refund Outbound Integrations What's New Video (https://community.workday.com/articles/332623).",,10/13/2017,11/10/2017,,,,,,,,,,STU-32293,,
488,PR29,WDAY,29,feature release,Workday 29 - Adoption Planning,"Workday 29 continues to enhance Adoption Applications, a planning and implementation guide. We enable you to report on and gain insight from adoption items and tasks and we simplify how you organize and prepare for maintenance and important events in your tenant.

For details, see: Adoption Planning What's New Video (https://community.workday.com/articles/312837).",Adoption,Automatically Available,Duplicate Adoption Items,"Workday simplifies how you manage duplicate adoption items. We add sequential numbers to adoption items with the same details for these fields:
- Name
- Planned End Date
- Planned Start Date
- Status
- Type",,10/13/2017,10/27/2017,,,,,,,,,,ADOPT-1158,,
489,PR29,WDAY,29,feature release,Workday 29 - Integrations - Miscellaneous Enhancements,,Integration,Automatically Available,Supported Inbound EIB Operations Report,We add a new Mass Rescind Business Processes Loaded by EIB column on the Supported Inbound EIB Operations report that you can use to determine if an inbound EIB can support mass rescinding of business processes in advance.,This feature may impact your training materials.,10/13/2017,11/10/2017,,,,,,,,,,ICPSVC-135,,
490,PR29,WDAY,29,feature release,Workday 29 - Airport Data Maintenance,"Workday 29 enables you to configure additional airport information against airport codes to automatically populate airport data, offering greater accuracy when reporting on air travel expenses.",Expenses,Automatically Available,Web Services for Airport Data,"We update these web services to support the configuration of additional airport data for reporting on air travel expenses: 
- Get Airports
- Put Airport

We also update these web services to support the configuration of additional airport data: 
- Submit Expense Report
- Submit Expense Report for Applicant
- Submit Expense Report for Non-Worker
- Submit Spend Authorization",This feature may impact your training materials.,10/13/2017,11/10/2017,,,,,,,,,,FINEXP-19140,,
491,PR29,WDAY,29,feature release,Workday 29 - Work Spaces,"Workday 29 enables you to update work space information independently from staffing transactions, making work spaces easier to maintain and providing administrators with a streamlined tool for relocating workers.

For details, see: Work Spaces What's New Video (https://community.workday.com/articles/312915).",Staffing,Setup Required,Change My Work Space,"Workday delivers a new Change My Work Space task (secured to the Staffing functional area) as an initiating action on the Change Work Space business process. Employees and contingent workers can use this task to change their work space.

Note: Before workers can use the task, you must add these security groups to the initiating action on the Change Work Space business process:
- Contingent Worker as Self
- Employee as Self",,10/13/2017,11/10/2017,,,,Change My Work Space,,Staffing,,,,HRINFRA-2349,,
492,PR29,WDAY,29,feature release,Workday 29 - USA Payroll - Miscellaneous Enhancements,,USA Payroll,Automatically Available,M-4 Massachusetts State Tax Withholding Form,"We rename the Full-Time Student check box on the M-4 Massachusetts State Tax Withholding Form on these tasks to Full-Time Student Engaged In Seasonal, Part-Time or Temporary Employment Whose Estimated Annual Income Will Not Exceed $8,000 for consistency:
- Complete State and Local Withholding Elections for Worker
- Complete State Local Withholding Elections",This feature may impact your training materials.,10/13/2017,10/13/2017,,,,,,,"Full-Time Student Engaged In Seasonal, Part-Time or Temporary Employment Whose Estimated Annual Income Will Not Exceed $8,000",Full-Time Student,,PAYWDUSA-16849,,
493,PR29,WDAY,29,feature release,Workday 29 - Worker Reporting,"With this update, we continue to increase flexibility for reporting on worker data.

For details, see: Worker Reporting What's New Video (https://community.workday.com/node/311232).",Staffing,Setup Required,Workers For HCM Reporting RDS Filters,"Workday updates the domains of filters on the Workers for HCM Reporting report data source (RDS) for more flexible security.

We now secure these RDS filters to the Worker Data: Active and Terminated Workers domain in addition to their existing domains:
- All Employees 
- Workers for All Organizations

We also now secure the Workers by Role filter to the Worker Data: Turnover Summary domain in addition to its current domains.",,10/13/2017,10/13/2017,,,,,,,,,,HRINFRA-2680,,
494,PR29,WDAY,29,feature release,Workday 29 - Integrations - Miscellaneous Enhancements,,Integration,Automatically Available,Enterprise Interface Builder (EIB) Outbound,"Workday enables you to quickly identify file name issues and avoid creating directories in error. We now display an error message on  EIBs with a SFTP, FTP/SSL, or FTP delivery method when you enter an outbound file name with a forward slash in the Deliver section on the Create EIB task.",,10/13/2017,11/10/2017,,,,,,,,,,ICPSVC-372,,
495,PR29,WDAY,29,feature release,Workday 29 - Integrations - Miscellaneous Enhancements,,Integration,Automatically Available,Payroll Journal Outbound Connector,"We now enable you to add a field override at the Journal Line and Journal Entry levels when exporting payroll journal data from Workday. We add a new Payroll Journal Entry DIS integration service on the Payroll Journal Outbound Connector integration template. 

We also update the related actions menu on integrations based on the Payroll Journal Outbound Connector integration template. We add a new:
- Integration System > Configure Integration Overrides for DIS option. 
- Extended Fields grid to the Journal_Entry and Journal_Line elements. You can use this grid to define additional fields that Workday adds to integration output in the Journal_Entry or Journal_Lines data sections.",This feature may impact your training materials.,10/13/2017,10/13/2017,,,,,,,,,,PAYWDINT-1555,,
496,PR29,WDAY,29,feature release,Workday 29 - Configure Optional Fields,"Workday 29 enables you to hide or require optional fields, making it easier to customize business processes and tasks.

For details, see: Configure Optional Fields What's New Video (https://community.workday.com/articles/312357).","Staffing

System",Setup Required,Configure Optional Fields for Change Job,"You can now use the Configure Optional Fields task to hide or require fields on the Change Job business process.

We also update the Change Job web service to support required fields.

Note: For details, see the Configure Optional Fields for Change Job, Hire, and Termination community article (https://community.workday.com/articles/330953).",,10/13/2017,11/10/2017,,,,,,,,,,HRINFRA-1767,,
497,PR29,WDAY,29,feature release,Workday 29 - Custom Data Sources,"Workday 29 enables you to create a custom, indexed worker data source so you can produce high-performing reports for executive dashboards.

For details, see: Custom Data Sources What's New Video (https://community.workday.com/articles/314773).",System,Automatically Available,Image Fields for Custom Data Sources,"With this update, Workday enables you to include photos or other images in high performance custom reports. We update custom data sources with image-type report fields.",This feature may impact your training materials.,10/13/2017,10/13/2017,Yes,10/20/2017,,,,,,,,OMSBI-36484,,
498,PR29,WDAY,29,feature release,Workday 29 - USA Payroll - Miscellaneous Enhancements,,USA Payroll,Automatically Available,Record US Withholding Order for Worker in Nevada,We add a new Weekly Gross Wages field on the Record US Withholding Order for Worker task that you can use to record the average weekly gross wages on creditor garnishment orders for Workers in Nevada.,This feature may impact your training materials.,10/13/2017,10/13/2017,Yes,10/20/2017,,,,,,,,PAYWDUSA-17880,,
499,PR29,WDAY,29,feature release,Workday 29 - Cloud Connect for Benefits,Workday continues to improve Cloud Connect for Benefits functionality.,Integration,Setup Required,"Sun Life (Canada): Medical, Dental, HSA, PSA, Dental HSA","We deliver these new field overrides on the template, enabling you to send the effective date of medical and dental plans:
- Medical Effective Date
- Dental Effective Date",,10/13/2017,10/13/2017,Yes,10/20/2017,,,,,,,,INTHRBEN-8469,,
500,PR29,WDAY,29,feature release,Workday 29 - User Activity Logging,"Workday 29 enhances auditing capabilities with user activity logging. Workday now logs user views and updates on any task or business process, enabling administrators and auditors to monitor user activity.",System,Automatically Available,View User Activity Target,"We add a new Target column on the View User Activity report that displays the object a user takes action on, providing valuable context when you audit user activity.  

Examples:
- When Logan McNeil views Betty Liu's worker profile, Betty Liu's user name displays in the column.
- When Logan McNeil approves a business process, the business process name displays in the column.",This feature may impact your training materials.,10/6/2017,10/6/2017,,,,,,,,,,OMSAPI-2447,,
501,PR29,WDAY,29,feature release,Workday 29 - ADP Local Payroll Data,"With Workday 29, we enable you to enter local payroll data into Workday and pass it to ADP GlobalView, making it easier to complete hiring and job changes entirely in Workday.","Integration

Payroll Interface",Setup Required,Local Payroll Data for Taiwan,"With this update, we deliver support for local payroll data with ADP GlobalView for Taiwan.",,10/6/2017,10/6/2017,,,,,,,,,,PAYEXTERNAL-3772,,
502,PR29,WDAY,29,feature release,Workday 29 - Workday Benchmarking,"With this update, we deliver Workday Benchmarking, an analytics platform that provides reliable peer group benchmarks based on Workday usage and transaction data, at no additional cost. This opt-in service de-identifies and aggregates customer data and ensures privacy and security with a multilayered security architecture.

With Workday Benchmarking, you can:
- Opt into subcategories you want to contribute data for and receive benchmarks against. 
- Compare peer benchmarks against your actual values.
- Filter benchmark data by subcategory-specific dimensions. 

For details, see:
- Workday Benchmarking (https://community.workday.com/articles/279022).
- Workday Benchmarking What's New Video (https://community.workday.com/articles/312484).

Note: Workday Benchmarking tasks, reports, and data sources are available in your tenant before you opt in, but Workday does not display benchmark data until you contact your Customer Success Manager to opt in for this free service.",Benchmarking,Automatically Available,Delete Benchmark Subcategory Security Segment,"Workday enhances benchmarking segment security maintenance, enabling you to delete benchmark subcategory security segments you’re not currently using in any segment security groups.

We add a new: 
- Delete Benchmark Subcategory Security Segment task (secured to the Benchmark Management domain). 
- Delete option on the related actions menu of a Benchmark Subcategory Security Segment.",This feature may impact your training materials.,10/6/2017,10/13/2017,,,,Delete Benchmark Subcategory Security Segment,,Benchmark Management (existing),,,,DAAS-826,,
503,PR29,WDAY,29,feature release,Workday 29 - W-2 Control Number Options,"Workday enhances Box D on the W-2, W-2GU, and W-2VI forms so that you can mask the control number.",USA Payroll,Automatically Available,W-2 Box Configuration Report for Guam,"We now display an Edit button in row D - Control Number on the View US Territory Year End Form Box Configuration report for Guam that enables you to override the control number.

Note: This button is not yet operational. We intend to enable this functionality in a future update.",This feature may impact your training materials.,10/6/2017,10/6/2017,Yes,10/13/2017,,,,,,,,PAYWDUSA-16903,,
504,PR29,WDAY,29,feature release,Workday 29 - Pensions Auto-Enrolment,Workday 29 helps you manage exclusions and exemptions from pensions auto-enrolment assessment.,UK Payroll,Automatically Available,GBR Pen AE Calc: Annual Earnings Thresholds (DO NOT USE),"With this update, Workday retires the GBR Pen AE Calc: Annual Earnings Thresholds (DO NOT USE) [GBR] lookup table.

We recommend that you use the GBR Pen AE: Earnings Thresholds lookup table instead. You can use these public arithmetic calculations to access the table:
- GBR Lookup Pen AE: Earnings Trigger for Automatic Enrolment
- GBR Lookup Pen AE: Lower Level of Qualifying Earnings
- GBR Lookup Pen AE: Tax Relief
- GBR Lookup Pen AE: Upper Level of Qualifying Earnings",This feature may impact your training materials.,10/6/2017,10/6/2017,,,,,,,,,GBR Pen AE Calc: Annual Earnings Thresholds (DO NOT USE) [GBR],PAYWDGBR-4422,,
505,PR29,WDAY,29,feature release,Workday 29 - Adoption Planning,"Workday 29 continues to enhance Adoption Applications, a planning and implementation guide. We enable you to report on and gain insight from adoption items and tasks and we simplify how you organize and prepare for maintenance and important events in your tenant.

For details, see: Adoption Planning What's New Video (https://community.workday.com/articles/312837).",Adoption,Automatically Available,Prevent Adoption Item Duplication,"Workday improves validations to prevent you from creating duplicate adoption items. 

Now, when you create or edit an adoption item that shares these values with an existing item, Workday displays an error message:
- Name
- Planned End Date
- Planned Start Date
- Status
- Type",This feature may impact your training materials.,10/6/2017,10/20/2017,,,,,,,,,,ADOPT-1104,,
506,PR29,WDAY,29,feature release,Workday 29 - Recruiting - Miscellaneous Enhancements,,Recruiting,Automatically Available,Reactivate Job Applications,"When you run the Reactivate Job Application task, Workday now returns the candidate to the decision step of the stage they were in before their job application event was closed, instead of the initiation step of the stage. This enables you to retain any information configured during that stage.",This feature may impact your training materials.,10/6/2017,10/20/2017,,,,,,,,,,HRREC-27702,,
507,PR29,WDAY,29,feature release,Workday 29 - Business Process Framework - Miscellaneous Enhancements,,System,Automatically Available,Corrected Date Report Field,"With this update, we deliver a new Corrected Date report field on the Correction Event business object (secured to the Public Reporting Items domain). You can use this report field in custom reports to return the date a correction was submitted or the effective date of a corrected event.",,10/6/2017,11/3/2017,,,,,,Public Reporting Items (existing),,,,EFCORE-1510,,
508,PR29,WDAY,29,feature release,Workday 29 - Income Withholding Orders for Canada Payroll,"With this release, we update all income withholding orders (IWOs) for Canada Payroll to support the latest IWO calculation rules and to provide you with more flexibility when managing the various types.",CAN Payroll,Automatically Available,IWO Provincial Calculations,"We update the provincial calculations for all IWOs, helping you comply with provincial legislation.

We also now limit the Exempt Percent Override field to 100% when recording these IWOs so that you can comply with provincial legislation:
- Family Maintenance for Northwest Territories, Nunavut, Ontario, and Quebec.
- Federal Tax Levy.
- Garnishment for British Columbia, Manitoba, Newfoundland, Northwest Territories, Nova Scotia, Nunavut, Ontario, Quebec, and Yukon.
- Province Tax Levy.
- Wage Assignments for Ontario.

We also update the allocation method for the Family Maintenance IWO to now prorate across multiple IWOs for these provinces:
- Nova Socia 
- Ontario 
- Prince Edward Island 
- Yukon",This feature may impact your training materials.,10/6/2017,10/27/2017,,,,,,,,,,PAYWDCAN-6651,,
509,PR29,WDAY,29,feature release,Workday 29 - USA Payroll - Miscellaneous Enhancements,,USA Payroll,Automatically Available,Washington Worker Compensation Taxes,"We enhance the Tax Filing Quarterly Data for Workers report for workers with worker compensation taxes in the state of Washington. We now display the sum of the worker compensation rate in the WC Rate column on the Additional Data tab, enabling you to review only the WC Rate for codes that are applicable to the worker.",This feature may impact your training materials.,10/6/2017,10/20/2017,,,,,,,,,,PAYWDUSA-16670,,
510,PR29,WDAY,29,feature release,Workday 29 - Cloud Connect for Benefits,Workday continues to improve Cloud Connect for Benefits functionality.,Integration,Automatically Available,Optum: Behavioral Health,"We rename the Optum: Behavioral Health template to Optum: Behavioral Health, Rx and update the description for clarity. 

We also add these new attributes on the template: 
- Convert Output File to Upper
- Dependent End Coverage Configuration
- End Coverage Configuration
- Include Future Coverage End Date
- Maintenance Reason Code",This feature may impact your training materials.,10/6/2017,10/6/2017,,,,,,,"Optum: Behavioral Health, Rx",Optum: Behavioral Health,,INTHRBEN-8502,,
511,PR29,WDAY,29,feature release,Workday 29 - Adoption Planning,"Workday 29 continues to enhance Adoption Applications, a planning and implementation guide. We enable you to report on and gain insight from adoption items and tasks and we simplify how you organize and prepare for maintenance and important events in your tenant.

For details, see: Adoption Planning What's New Video (https://community.workday.com/articles/312837).",Adoption,Automatically Available,Adoption Item Priorities Web Services,"With this update, we deliver these new web services (secured to the Set Up: Adoption and Special OX Web Services domains):
- Get Adoption Item Priorities
- Put Adoption Item Priorities",This feature may impact your training materials.,10/6/2017,11/10/2017,,,,,"Get Adoption Item Priorities
Put Adoption Item Priorities","Set Up: Adoption (existing)
Special OX Web Services (existing)",,,,ADOPT-1083,,
512,PR29,WDAY,29,feature release,Workday 29 - Manage Duplicate Candidates,"Workday 29 continues to improve your ability to identify duplicate candidates, enabling a faster, simpler recruiting process.

For details, see: Manage Duplicate Candidates What's New Video (https://community.workday.com/articles/312547).",Recruiting,Automatically Available,Candidate Merge Validations,Workday now displays critical validations instead of an error page when you try to merge candidates who are linked to different prior workers or have different Candidate Home accounts.,This feature may impact your training materials.,10/6/2017,11/10/2017,,,,,,,,,,HRREC-29701,,
513,PR29,WDAY,29,feature release,Workday 29 - Income Withholding Orders for Canada Payroll,"With this release, we update all income withholding orders (IWOs) for Canada Payroll to support the latest IWO calculation rules and to provide you with more flexibility when managing the various types.",CAN Payroll,Automatically Available,Multiple Income Withholding Orders,"With this update, you no longer have to input an override calculation when a worker has multiple income withholding orders (IWOs). Workday now reduces the Max Amount to Withhold based on the highest priority IWO when calculating multiple IWOs for an employee.",This feature may impact your training materials.,10/6/2017,10/27/2017,,,,,,,,,,PAYWDCAN-7178,,
514,PR29,WDAY,29,feature release,Workday 29 - Security and Authentication Reporting,"Workday 29 provides new security and authentication reports, making it easier to view, audit, and troubleshoot configurations and better safeguard your tenants.",System,Automatically Available,Compare Security of Workday Accounts,"With this update, we deliver a new Compare Security of Workday Accounts report (secured to the Security Configuration domain). You can use this report to compare the security group and role assignments of 2 or more Workday accounts, streamlining how you troubleshoot and gather security information about your users.",This feature may impact your training materials.,10/6/2017,11/3/2017,,,,,,Security Configuration (existing),,,,OMSCONFIGSEC-357,,
515,PR29,WDAY,29,feature release,Workday 29 - Union Eligible Jobs,"Workday 29 continues to enhance your ability to manage union memberships and designate jobs available to union members.

For details, see: Union Eligible Jobs What's New Video (https://community.workday.com/articles/312278).",Unions,Setup Required,Union Memberships For Terminated Workers,"With this update, we deliver the new Manage Union Membership Service for Termination service step that you can configure on the Termination business process. This enables Workday to automatically end all of a worker's current and future union memberships when you terminate them.

When you terminate a worker with:
- An existing union membership, Workday automatically populates the union membership end date with the date of termination.
- A future start date for their union membership, and you terminate the worker before the union membership begins, Workday automatically populates the union membership end date with the membership start date.

When you rescind a termination, Workday rescinds the Service step. When you correct a termination effective date, Workday automatically updates the union memberships' end dates.

If you configure the step on the business process, this service step will run automatically when the Terminate Employee web service is set to auto-complete.",,10/6/2017,11/3/2017,,,,,,,,,,HREG-12827,,
516,PR29,WDAY,29,feature release,Workday 29 - Integrations - Miscellaneous Enhancements,,Integration,Automatically Available,Abort Background Processing for Integrations,"With this update, Workday simplifies how you stop accidental integration runs by moving the Abort option from the related actions menu of an Integration Event and adding it on the related actions menu of Background Process Integration events when they are processing.",This feature may impact your training materials.,10/6/2017,11/3/2017,,,,,,,,,,ICP-18086,,
517,PR29,WDAY,29,feature release,Workday 29 - ADP Local Payroll Data,"With Workday 29, we enable you to enter local payroll data into Workday and pass it to ADP GlobalView, making it easier to complete hiring and job changes entirely in Workday.","Integration

Payroll Interface",Setup Required,Local Payroll Data for India,"With this update, we deliver support for local payroll data with ADP GlobalView for India.",,10/6/2017,10/6/2017,,,,,,,,,,PAYEXTERNAL-3764,,
518,PR29,WDAY,29,feature release,Workday 29 - USA Payroll - Miscellaneous Enhancements,,USA Payroll,Automatically Available,Get Periodic Worker Tax Filing Data Web Service,"We update the Get Periodic Worker Tax Filing Data web service to now report these amounts separately:
- OASDI Total Wages
- QTD Taxable Tips Wages
- Separate OASDI Tip Wages
- YTD Taxable Tip Wages",This feature may impact your training materials.,10/6/2017,10/20/2017,,,,,,,,,,PAYWDUSA-11641,,
519,PR29,WDAY,29,feature release,Workday 29 - Absence Type Grouping,"Workday 29 delivers the option to create group names that organize your absence types.

For details, see: Absence Type Grouping What's New Video (https://community.workday.com/articles/330465).",Time Off and Leave,Setup Required,Configure Absence Type Groups,"We deliver a new Configure Absence Type Groups task (secured to Set Up: Time Off domain) that enables you to create groups that workers can use to easily locate absence types for their requests. 

When you don't configure a group for an absence type, Workday:
- Automatically adds the type to the Other Absence Types group.
- Displays the type in the Ungrouped Absence Types grid on the task.",,10/6/2017,10/27/2017,Yes,10/13/2017,,Configure Absence Type Groups,,Set Up: Time Off (existing),,,,ABS-21420,,
520,PR29,WDAY,29,feature release,Workday 29 - Security and Authentication Reporting,"Workday 29 provides new security and authentication reports, making it easier to view, audit, and troubleshoot configurations and better safeguard your tenants.",System,Automatically Available,Security Group Permissions Compare,"We deliver a new Security Analysis for Security Groups report (secured to the Security Configuration domain) enabling you to review the permissions of 2 or more security groups side by side.

Workday recommends you use the new report instead of the retired Security Analysis for Security Group report.",,10/6/2017,11/3/2017,,,,,,Security Configuration (existing),,,Security Analysis for Security Group,OMSCONFIGSEC-357,,
521,PR29,WDAY,29,feature release,Workday 29 - Plan to Pipeline Report,"With this update, we enhance the Plan to Pipeline report to support additional filtering options, giving you greater flexibility and visibility into your headcount plans.","Headcount Planning

Planning",Automatically Available,Job Application and Requisition RDS Filters,"We update the descriptions for these report data source (RDS) filters for clarity:
- Job Application for Planning filter on the Job Applications RDS.
- Job Requisitions for Planning filter on the Job Requisitions – Indexed RDS.",This feature may impact your training materials.,10/6/2017,10/6/2017,,,,,,,,,,FINPLAN-4890,,
522,PR29,WDAY,29,feature release,Workday 29 - Absence - Miscellaneous Enhancements,,Time Off and Leave,Automatically Available,Evaluate Absence Calculation Task,"Workday 29 adds a new Evaluate Absence Calculation task, secured to the Set Up: Time Off (Calculations - Absence Specific) domain, that you can use to analyze accrual calculations.",This feature may impact your training materials.,10/6/2017,11/3/2017,,,,Evaluate Absence Calculation,,Set Up: Time Off (Calculations - Absence Specific) (existing),,,,ABS-19601,,
523,PR29,WDAY,29,feature release,Workday 29 - Redesign for User Interface,"Workday redesigns the user interface for a better user experience, enabling you to find information more quickly and expanding branding capabilities for your tenant.

For details, see: Redesign for User Interface What's New Video (https://community.workday.com/articles/313998).",System,Automatically Available,Home Page,"We update the Home page to now display:
- A welcome banner with your name.
- A new Inbox card that displays your most recent Inbox items. 
- An Announcements card that displays your most recent announcements.
- Your configured home page worklets on a single, consolidated card.

Note: While you can configure the Announcement and worklet cards, the Inbox card always displays by default and cannot be hidden.",This feature may impact your training materials.,10/6/2017,10/20/2017,Yes,12/15/2017,,,,,,,,UIPLAT-12148,,
524,PR29,WDAY,29,feature release,Workday 29 - Business Asset Accounting - Miscellaneous Enhancements,,Business Asset Accounting,Setup Required,Disable Asset Shares,We add a new Disable Asset Shares check box on the Edit Tenant Setup – Financials task that you can select to have Workday disable asset shares when you split a source document by amount.,,10/6/2017,11/10/2017,,,,,,,,,,FINAST-12060,,
